"descricao","fipeid","tipoveiculo"
ACURA,"1",0
ADLY,"60",1
AGRALE,"102",2
AGRALE,"2",0
AGRALE,"61",1
ALFA ROMEO,"3",0
AM GEN,"4",0
AMAZONAS,"131",1
APRILIA,"62",1
ASIA MOTORS,"5",0
ASTON MARTIN,"189",0
ATALA,"63",1
AUDI,"6",0
BABY,"207",0
BAJAJ,"64",1
BEE,"205",1
BENELLI,"162",1
BEPOBUS,"206",2
BETA,"65",1
BIMOTA,"66",1
BMW,"67",1
BMW,"7",0
BRANDY,"68",1
BRAVA,"130",1
BRM,"8",0
BRP,"150",1
BUELL,"117",1
BUENO,"155",1
BUGGY,"9",0
BUGRE,"123",0
BYCRISTO,"69",1
BYD,"238",0
CADILLAC,"10",0
CAGIVA,"70",1
CALOI,"71",1
CBT JIPE,"11",0
CHANA,"136",0
CHANGAN,"182",0
CHERY,"161",0
CHEVROLET,"103",2
CHRYSLER,"12",0
CICCOBUS,"121",2
CITROËN,"13",0
CROSS LANDER,"14",0
DAELIM,"72",1
DAEWOO,"15",0
DAF,"197",2
DAFRA,"145",1
DAIHATSU,"16",0
DAYANG,"137",1
DAYUN,"142",1
DERBI,"73",1
DODGE,"17",0
DUCATI,"74",1
EFFA,"147",0
EFFA-JMC,"179",2
EMME,"75",1
ENGESA,"18",0
ENVEMO,"19",0
FERRARI,"20",0
FIAT,"104",2
FIAT,"21",0
FIBRAVAN,"149",0
FORD,"105",2
FORD,"22",0
FOTON,"190",0
FOTON,"191",2
FOX,"132",1
FYBER,"170",0
FYM,"128",1
GARINNI,"143",1
GAS GAS,"76",1
GEELY,"199",0
GM - CHEVROLET,"23",0
GMC,"106",2
GREAT WALL,"153",0
GREEN,"133",1
GURGEL,"24",0
HAFEI,"152",0
HAOBAO,"138",1
HAOJUE,"203",1
HARLEY-DAVIDSON,"77",1
HARTFORD,"78",1
HERO,"79",1
HITECH ELECTRIC,"214",0
HONDA,"25",0
HONDA,"80",1
HUSABERG,"81",1
HUSQVARNA,"82",1
HYUNDAI,"181",2
HYUNDAI,"26",0
INDIAN,"202",1
IROS,"158",1
ISUZU,"27",0
IVECO,"122",2
IVECO,"208",0
JAC,"177",0
JAGUAR,"28",0
JEEP,"29",0
JIAPENG VOLCANO,"141",1
JINBEI,"154",0
JOHNNYPAG,"174",1
JONNY,"151",1
JPX,"30",0
KAHENA,"129",1
KASINSKI,"118",1
KAWASAKI,"85",1
KIA MOTORS,"31",0
KTM,"87",1
KYMCO,"204",1
LADA,"32",0
LAMBORGHINI,"171",0
LAND ROVER,"33",0
LANDUM,"159",1
L'AQUILA,"88",1
LAVRALE,"89",1
LERIVO,"139",1
LEXUS,"34",0
LIFAN,"168",0
LIFAN,"178",1
LOBINI,"127",0
LON-V,"148",1
LOTUS,"35",0
MAGRÃO TRICICLOS,"175",1
MAHINDRA,"140",0
MALAGUTI,"146",1
MAN,"184",2
MARCOPOLO,"108",2
MASCARELLO,"196",2
MASERATI,"36",0
MATRA,"37",0
MAXIBUS,"194",2
MAZDA,"38",0
MCLAREN,"211",0
MERCEDES-BENZ,"109",2
MERCEDES-BENZ,"39",0
MERCURY,"40",0
MG,"167",0
MINI,"156",0
MITSUBISHI,"41",0
MIURA,"42",0
MIZA,"126",1
MOTO GUZZI,"90",1
MOTOCAR,"201",1
MOTORINO,"200",1
MRX,"160",1
MV AGUSTA,"91",1
MVK,"92",1
NAVISTAR,"110",2
NEOBUS,"111",2
NISSAN,"43",0
ORCA,"93",1
PEGASSI,"164",1
PEUGEOT,"44",0
PEUGEOT,"94",1
PIAGGIO,"95",1
PLYMOUTH,"45",0
PONTIAC,"46",0
PORSCHE,"47",0
PUMA,,0
PUMA-ALFA,"112",2
RAM,"185",0
REGAL RAPTOR,"173",1
RELY,"186",0
RENAULT,"48",0
RIGUETE,"198",1
ROLLS-ROYCE,"195",0
ROVER,"49",0
ROYAL ENFIELD,"192",1
SAAB,"50",0
SAAB-SCANIA,"113",2
SANYANG,"96",1
SATURN,"51",0
SCANIA,"114",2
SEAT,"52",0
SHACMAN,"193",2
SHINERAY,"134",1
SHINERAY,"183",0
SIAMOTO,"97",1
SINOTRUK,"166",2
SMART,"157",0
SSANGYONG,"125",0
SUBARU,"54",0
SUNDOWN,"98",1
SUZUKI,"55",0
SUZUKI,"99",1
TAC,"165",0
TARGOS,"176",1
TIGER,"187",1
TOYOTA,"56",0
TRAXX,"119",1
TRIUMPH,"100",1
TROLLER,"57",0
VENTO,"180",1
VOLKSWAGEN,"115",2
VOLVO,"116",2
VOLVO,"58",0
VW - VOLKSWAGEN,"59",0
WAKE,"163",0
WALK,"120",0
WALKBUS,"144",2
WUYANG,"135",1
YAMAHA,"101",1
